生薬名（漢字）,生薬名（カタカナ）,読み（ひらがな）,備考
防風,ボウフウ,ぼうふう,配合製品数: 26
蒲黄,ホオウ,ほおう,日本薬局方生薬
撲樕,ボクソク,ぼくそく,配合製品数: 1
蒲公英,ホコウエイ,ほこうえい,日本薬局方生薬
補骨脂,ホコツシ,ほこつし,日本薬局方生薬
牡丹皮,ボタンピ,ぼたんぴ,配合製品数: 28
牡蛎,ボレイ,ぼれい,配合製品数: 10
麻黄,マオウ,まおう,配合製品数: 38
麻子仁,マシニン,ましにん,配合製品数: 4
末,マツ,まつ,日本薬局方生薬
蔓荊子,マンケイシ,まんけいし,配合製品数: 4
蜜蝋,ミツロウ,みつろう,配合製品数: 1
無水芒硝,ムスイボウショウ,むすいぼうしょう,配合製品数: 12
木通,モクツウ,もくつう,配合製品数: 16
木瓜,モッカ,もっか,日本薬局方生薬
木香,モッコウ,もっこう,配合製品数: 11
没薬,モツヤク,もつやく,日本薬局方生薬
益母草,ヤクモソウ,やくもそう,配合製品数: 2
熊胆,ユウタン,ゆうたん,配合製品数: 1
薏苡仁,ヨクイニン,よくいにん,配合製品数: 6
抑肝散加陳皮半夏,ヨクカンサンカチンピハンゲ,よくかんさんかちんぴはんげ,日本薬局方生薬
梨皮,リヒ,りひ,配合製品数: 1
リボフラビン,リボフラビン,りぼふらびん,配合製品数: 1
竜眼肉,リュウガンニク,りゅうがんにく,配合製品数: 1
竜骨,リュウコツ,りゅうこつ,配合製品数: 3
隆持源,リュウジゲン,りゅうじげん,日本薬局方生薬
竜胆,リュウタン,りゅうたん,配合製品数: 6
竜脳,リュウノウ,りゅうのう,配合製品数: 1
良姜,リョウキョウ,りょうきょう,配合製品数: 3
麗沢通気湯加辛夷,レイタクツウキトウカシンイ,れいたくつうきとうかしんい,日本薬局方生薬
羚羊角,レイヨウカク,れいようかく,配合製品数: 2
連翹,レンギョウ,れんぎょう,配合製品数: 21
蓮子,レンシ,れんし,日本薬局方生薬
蓮肉,レンニク,れんにく,配合製品数: 2
鹿茸,ロクジョウ,ろくじょう,配合製品数: 1
和羌活,ワキョウカツ,わきょうかつ,配合製品数: 3
