区分,名称,漢字表記,読み（ひらがな）,読み（カタカナ）,備考
処方名,升麻葛根湯,升麻葛根湯,しょうまかっこんとう,ショウマカッコントウ,漢方処方名
処方名,生脈散,生脈散,しょうみゃくさん,ショウミャクサン,漢方処方名
処方名,逍遙散,逍遙散,しょうようさん,ショウヨウサン,漢方処方名
処方名,地竜,地竜,じりゅう,ジリュウ,漢方処方名
処方名,辛夷清肺湯,辛夷清肺湯,しんいせいはいとう,シンイセイハイトウ,漢方処方名
処方名,神仙太乙膏,神仙太乙膏,しんせんたいつこう,シンセンタイツコウ,漢方処方名
処方名,参蘇飲,参蘇飲,じんそいん,ジンソイン,漢方処方名
処方名,神秘湯,神秘湯,しんぴとう,シンピトウ,漢方処方名
処方名,真武湯,真武湯,しんぶとう,シンブトウ,漢方処方名
処方名,参苓白朮散,参苓白朮散,じんりょうびゃくじゅつさん,ジンリョウビャクジュツサン,漢方処方名
処方名,参苓白朮散料,参苓白朮散料,じんりょうびゃくじゅつさん,ジンリョウビャクジュツサン,漢方処方名
処方名,清湿化痰湯,清湿化痰湯,せいしつけたんとう,セイシツケタントウ,漢方処方名
処方名,清上蠲痛湯,清上蠲痛湯,せいじょうけんつうとう,セイジョウケンツウトウ,漢方処方名
処方名,清上防風湯,清上防風湯,せいじょうぼうふうとう,セイジョウボウフウトウ,漢方処方名
処方名,清暑益気湯,清暑益気湯,せいしょえっきとう,セイショエッキトウ,漢方処方名
処方名,清心蓮子飲,清心蓮子飲,せいしんれんしいん,セイシンレンシイン,漢方処方名
処方名,石流茶,石流茶,せきりゅうちゃ,セキリュウチャ,漢方処方名
処方名,洗肝明目湯,洗肝明目湯,せんかんめいもくとう,センカンメイモクトウ,漢方処方名
処方名,千金内托散,千金内托散,せんきんないたくさん,センキンナイタクサン,漢方処方名
処方名,続命湯,続命湯,ぞくめいとう,ゾクメイトウ,漢方処方名
処方名,疎経活血湯,疎経活血湯,そけいかっけつとう,ソケイカッケツトウ,漢方処方名
処方名,蘇子降気湯,蘇子降気湯,そしこうきとう,ソシコウキトウ,漢方処方名
処方名,大黄甘草湯,大黄甘草湯,だいおうかんぞうとう,ダイオウカンゾウトウ,漢方処方名
処方名,大黄牡丹皮湯,大黄牡丹皮湯,だいおうぼたんぴとう,ダイオウボタンピトウ,漢方処方名
処方名,大建中湯,大建中湯,だいけんちゅうとう,ダイケンチュウトウ,漢方処方名
処方名,大柴胡湯,大柴胡湯,だいさいことう,ダイサイコトウ,漢方処方名
処方名,大柴胡湯去大黄,大柴胡湯去大黄,だいさいことうきょだいおう,ダイサイコトウキョダイオウ,漢方処方名
処方名,大承気湯,大承気湯,だいじょうきとう,ダイジョウキトウ,漢方処方名
処方名,沢瀉湯,沢瀉湯,たくしゃとう,タクシャトウ,漢方処方名
処方名,竹茹温胆湯,竹茹温胆湯,ちくじょおんたんとう,チクジョオンタントウ,漢方処方名
処方名,竹葉石膏湯,竹葉石膏湯,ちくようせっこうとう,チクヨウセッコウトウ,漢方処方名
処方名,治打撲一方,治打撲一方,ぢだぼくいっぽう,ヂダボクイッポウ,漢方処方名
処方名,知柏地黄丸,知柏地黄丸,ちばくじおうがん,チバクジオウガン,漢方処方名
処方名,釣藤散,釣藤散,ちょうとうさん,チョウトウサン,漢方処方名
処方名,腸癰湯,腸癰湯,ちょうようとう,チョウヨウトウ,漢方処方名
処方名,猪苓湯,猪苓湯,ちょれいとう,チョレイトウ,漢方処方名
